from,to,weight
Buc,McKinnon,2
Buc,McLaurin,2
Buc,Metcalf,2
Buc,Meyers,2
Buc,Miami,2
Buc,Miami Dolphins,2
Buc,Minshew,2
Buc,Mixon,2
Buc,Montgomery,2
Buc,Moore,2
Buc,Mostert,2
Buc,Murray,2
Buc,NFC,2
Buc,NFC North,2
Buc,NFC South,2
Buc,NFL,2
Buc,Nagy,2
Buc,New England,2
Buc,New England Patriots,2
Buc,New Orleans,2
Buc,Newton,2
Buc,Niners,2
Buc,Njoku,2
Buc,Noy,2
Buc,OBJ,2
Buc,O’Brien,2
Buc,Packers,2
Buc,Panthers,2
Buc,Patricia,2
Buc,Patrick,2
Buc,Patriot,4
Buc,Penny,2
Buc,Perriman,2
Buc,Phillips,2
Buc,Philly,2
Buc,Pittsburgh,2
Buc,Poe,2
Buc,Prescott,2
Buc,QB,2
Buc,Raiders,2
Buc,Rams,2
Buc,Raven,2
Buc,Redskins Jets Dolphins,2
Buc,Reid,2
Buc,Renfrow,2
Buc,Ridley,2
Buc,Rivera,2
Buc,Rivers,2
Buc,Roberts,2
Buc,Robinson,2
Buc,Rodgers,2
Buc,Roethlisberger,2
Buc,Rosen,2
Buc,Rudolph,2
Buc,Ryan,2
Buc,Sacksonville,2
Buc,Saints,2
Buc,Samuel,2
Buc,Sanders,2
Buc,Sanu,2
Buc,Seahawks,2
Buc,Seattle,2
Buc,Shanahan,2
Buc,Sharpe,2
Buc,Shelton,2
Buc,Shepard,2
Buc,Skins,2
Buc,Slay,2
Buc,Smith,2
Buc,Stafford,2
Buc,Steelers,2
Buc,Stidham,2
Buc,Stills,2
Buc,Sutton,2
Buc,TY,2
Buc,Tampa,2
Buc,Tannehill,4
Buc,Tate,2
Buc,Taylor,4
Buc,Tennessee,2
Buc,Texans,2
Buc,Thielen,2
Buc,Thomas,2
Buc,Titans,2
Buc,Tomlin,2
Buc,Trubisky,2
Buc,Trufant,2
